Matricule,Prénom,Nom,Qualification,Poste de montage,Compétences,Habilitations,Coût horaire (€),Rotation
AIR0126,Antoine,Laurent,Technicien Technique,Poste 14,"Soudure Niveau 2, Lecture plan Niveau 2","Électrique, Pneumatique",38.5,Semaine 1: Poste 34 | Semaine 2: Poste 38
AIR0127,Priya,Bertrand,Technicien Junior,Poste 15,"Assemblage Niveau 1, Montage électrique Niveau 1, Contrôle qualité Niveau 1","Mécanique, Électrique",32.5,Semaine 1: Poste 44 | Semaine 2: Poste 7
AIR0128,Sophie,Fournier,Chef d'Équipe Senior,Poste 16,"Contrôle qualité Niveau 3, Montage mécanique Niveau 3, Assemblage Niveau 3, Soudure Niveau 3",Pneumatique,41.5,Semaine 1: Poste 6 | Semaine 2: Poste 29
AIR0129,Isabelle,Leroy,Technicien Technique,Poste 17,"Montage mécanique Niveau 2, Soudure Niveau 2, Assemblage Niveau 2",Mécanique,38.5,Semaine 1: Poste 5 | Semaine 2: Poste 48
AIR0130,Isabelle,Leroy,Technicien Senior,Poste 18,"Contrôle qualité Niveau 3, Montage électrique Niveau 3",Mécanique,41.5,Semaine 1: Poste 48 | Semaine 2: Poste 43
AIR0131,Claire,Moreau,Technicien Senior,Poste 19,"Soudure Niveau 3, Assemblage Niveau 3",Pneumatique,39.5,Semaine 1: Poste 1 | Semaine 2: Poste 24
AIR0132,Bernard,Moreau,Opérateur Technique,Poste 20,"Contrôle qualité Niveau 2, Lecture plan Niveau 2",Électrique,37.5,Semaine 1: Poste 11 | Semaine 2: Poste 48
AIR0133,Nathalie,Fournier,Opérateur Junior,Poste 21,"Assemblage Niveau 1, Montage électrique Niveau 1, Montage mécanique Niveau 1","Électrique, Pneumatique",32.5,Semaine 1: Poste 32 | Semaine 2: Poste 11
AIR0134,Raj,Dubois,Technicien Technique,Poste 22,"Montage électrique Niveau 2, Soudure Niveau 2, Assemblage Niveau 2",Électrique,37.5,Semaine 1: Poste 48 | Semaine 2: Poste 14
AIR0135,Paul,Petit,Opérateur Senior,Poste 23,"Soudure Niveau 3, Assemblage Niveau 3","Hydraulique, Électrique",41.5,Semaine 1: Poste 18 | Semaine 2: Poste 30
AIR0136,Alice,Thomas,Opérateur Senior,Poste 24,"Soudure Niveau 3, Contrôle qualité Niveau 3, Montage électrique Niveau 3, Montage mécanique Niveau 3",Électrique,41.5,Semaine 1: Poste 6 | Semaine 2: Poste 56
AIR0137,Camille,Durand,Opérateur Technique,Poste 25,"Assemblage Niveau 2, Montage électrique Niveau 2, Contrôle qualité Niveau 2, Lecture plan Niveau 2",Mécanique,38.5,Semaine 1: Poste 22 | Semaine 2: Poste 11
AIR0138,Paul,Moreau,Opérateur Technique,Poste 26,"Lecture plan Niveau 2, Assemblage Niveau 2, Montage mécanique Niveau 2",Électrique,37.5,Semaine 1: Poste 40 | Semaine 2: Poste 36
AIR0139,Aisha,Simon,Chef d'Équipe Technique,Poste 27,"Montage électrique Niveau 2, Lecture plan Niveau 2, Assemblage Niveau 2, Contrôle qualité Niveau 2","Électrique, Hydraulique",38.5,Semaine 1: Poste 30 | Semaine 2: Poste 41
AIR0140,Nathalie,Simon,Technicien Technique,Poste 28,"Montage électrique Niveau 2, Montage mécanique Niveau 2",Pneumatique,37.5,Semaine 1: Poste 37 | Semaine 2: Poste 23
AIR0141,Raj,Petit,Opérateur Technique,Poste 29,"Contrôle qualité Niveau 2, Lecture plan Niveau 2, Soudure Niveau 2","Mécanique, Hydraulique",37.5,Semaine 1: Poste 42 | Semaine 2: Poste 37
AIR0142,Omar,Simon,Technicien Junior,Poste 30,"Assemblage Niveau 1, Lecture plan Niveau 1, Contrôle qualité Niveau 1, Montage électrique Niveau 1",Pneumatique,32.5,Semaine 1: Poste 16 | Semaine 2: Poste 5
AIR0143,Jacques,Richard,Technicien Technique,Poste 31,"Montage mécanique Niveau 2, Soudure Niveau 2",Mécanique,37.5,Semaine 1: Poste 55 | Semaine 2: Poste 40
AIR0144,Diego,Richard,Chef d'Équipe Senior,Poste 32,"Soudure Niveau 3, Assemblage Niveau 3","Hydraulique, Mécanique",41.5,Semaine 1: Poste 36 | Semaine 2: Poste 8
AIR0145,Priya,Fournier,Opérateur Junior,Poste 33,"Assemblage Niveau 1, Contrôle qualité Niveau 1, Montage mécanique Niveau 1, Montage électrique Niveau 1","Hydraulique, Électrique",32.5,Semaine 1: Poste 20 | Semaine 2: Poste 46
AIR0146,Louis,Thomas,Technicien Senior,Poste 34,"Contrôle qualité Niveau 3, Soudure Niveau 3, Lecture plan Niveau 3","Hydraulique, Électrique",41.5,Semaine 1: Poste 7 | Semaine 2: Poste 34
AIR0147,Olivia,Lefebvre,Opérateur Senior,Poste 35,"Assemblage Niveau 3, Lecture plan Niveau 3, Montage mécanique Niveau 3, Montage électrique Niveau 3",Hydraulique,41.5,Semaine 1: Poste 30 | Semaine 2: Poste 37
AIR0148,Hana,Petit,Technicien Senior,Poste 36,"Montage électrique Niveau 3, Assemblage Niveau 3","Hydraulique, Pneumatique",41.5,Semaine 1: Poste 48 | Semaine 2: Poste 20
AIR0149,Miguel,Lefebvre,Opérateur Senior,Poste 37,"Montage électrique Niveau 3, Lecture plan Niveau 3, Soudure Niveau 3",Électrique,41.5,Semaine 1: Poste 27 | Semaine 2: Poste 31
AIR0150,Yara,Fournier,Chef d'Équipe Senior,Poste 38,"Montage mécanique Niveau 3, Assemblage Niveau 3, Contrôle qualité Niveau 3",Électrique,41.5,Semaine 1: Poste 52 | Semaine 2: Poste 43
